Position	Ux(real)	Ux(imag)	Uz(real)	Uz(imag)	Uy(real)	Uy(imag)
-0.0005	7.14976e-010	-1.14608e-009	4.62793e-010	2.89399e-026	0	0
-0.00048	7.09969e-010	-1.15603e-009	4.33146e-010	-6.30452e-012	0	0
-0.00046	7.04951e-010	-1.16521e-009	4.04949e-010	-1.17534e-011	0	0
-0.00044	6.99952e-010	-1.17367e-009	3.78121e-010	-1.64003e-011	0	0
-0.00042	6.95e-010	-1.18147e-009	3.52588e-010	-2.02964e-011	0	0
-0.0004	6.90122e-010	-1.18865e-009	3.28275e-010	-2.34904e-011	0	0
-0.00038	6.8534e-010	-1.19523e-009	3.05111e-010	-2.60292e-011	0	0
-0.00036	6.80679e-010	-1.20127e-009	2.83026e-010	-2.79573e-011	0	0
-0.00034	6.76159e-010	-1.20679e-009	2.61953e-010	-2.93174e-011	0	0
-0.00032	6.718e-010	-1.21182e-009	2.41825e-010	-3.01504e-011	0	0
-0.0003	6.67621e-010	-1.21641e-009	2.22579e-010	-3.04956e-011	0	0
-0.00028	6.63637e-010	-1.22057e-009	2.04152e-010	-3.03908e-011	0	0
-0.00026	6.59864e-010	-1.22433e-009	1.86483e-010	-2.98721e-011	0	0
-0.00024	6.56317e-010	-1.22772e-009	1.69513e-010	-2.89745e-011	0	0
-0.00022	6.53009e-010	-1.23076e-009	1.53182e-010	-2.77317e-011	0	0
-0.0002	6.4995e-010	-1.23347e-009	1.37433e-010	-2.61764e-011	0	0
-0.00018	6.47151e-010	-1.23586e-009	1.22211e-010	-2.434e-011	0	0
-0.00016	6.44623e-010	-1.23796e-009	1.07459e-010	-2.22533e-011	0	0
-0.00014	6.42373e-010	-1.23978e-009	9.31243e-011	-1.9946e-011	0	0
-0.00012	6.40408e-010	-1.24132e-009	7.9152e-011	-1.74475e-011	0	0
-0.0001	6.38735e-010	-1.24262e-009	6.54894e-011	-1.4786e-011	0	0
-8e-005	6.37359e-010	-1.24366e-009	5.2084e-011	-1.19896e-011	0	0
-6e-005	6.36285e-010	-1.24446e-009	3.88839e-011	-9.08583e-012	0	0
-4e-005	6.35515e-010	-1.24503e-009	2.58373e-011	-6.10181e-012	0	0
-2e-005	6.35052e-010	-1.24537e-009	1.2893e-011	-3.06444e-012	0	0
0	6.34898e-010	-1.24549e-009	-1.98656e-016	-4.35007e-016	0	0
2e-005	6.35052e-010	-1.24537e-009	-1.28934e-011	3.06357e-012	0	0
4e-005	6.35515e-010	-1.24503e-009	-2.58377e-011	6.10094e-012	0	0
6e-005	6.36285e-010	-1.24446e-009	-3.88843e-011	9.08496e-012	0	0
8e-005	6.37359e-010	-1.24366e-009	-5.20844e-011	1.19887e-011	0	0
0.0001	6.38735e-010	-1.24262e-009	-6.54898e-011	1.47851e-011	0	0
0.00012	6.40408e-010	-1.24132e-009	-7.91524e-011	1.74466e-011	0	0
0.00014	6.42372e-010	-1.23978e-009	-9.31247e-011	1.99452e-011	0	0
0.00016	6.44623e-010	-1.23796e-009	-1.0746e-010	2.22524e-011	0	0
0.00018	6.47151e-010	-1.23586e-009	-1.22211e-010	2.43391e-011	0	0
0.0002	6.49949e-010	-1.23347e-009	-1.37433e-010	2.61755e-011	0	0
0.00022	6.53008e-010	-1.23076e-009	-1.53182e-010	2.77309e-011	0	0
0.00024	6.56317e-010	-1.22772e-009	-1.69513e-010	2.89737e-011	0	0
0.00026	6.59864e-010	-1.22433e-009	-1.86484e-010	2.98713e-011	0	0
0.00028	6.63636e-010	-1.22057e-009	-2.04153e-010	3.039e-011	0	0
0.0003	6.6762e-010	-1.21641e-009	-2.22579e-010	3.04949e-011	0	0
0.00032	6.71799e-010	-1.21182e-009	-2.41825e-010	3.01497e-011	0	0
0.00034	6.76158e-010	-1.20679e-009	-2.61953e-010	2.93166e-011	0	0
0.00036	6.80678e-010	-1.20127e-009	-2.83026e-010	2.79566e-011	0	0
0.00038	6.85339e-010	-1.19523e-009	-3.05111e-010	2.60285e-011	0	0
0.0004	6.9012e-010	-1.18865e-009	-3.28275e-010	2.34898e-011	0	0
0.00042	6.94999e-010	-1.18147e-009	-3.52588e-010	2.02957e-011	0	0
0.00044	6.99951e-010	-1.17367e-009	-3.78121e-010	1.63997e-011	0	0
0.00046	7.0495e-010	-1.16521e-009	-4.04949e-010	1.17528e-011	0	0
0.00048	7.09968e-010	-1.15603e-009	-4.33146e-010	6.30398e-012	0	0
0.0005	7.14975e-010	-1.14608e-009	-4.62793e-010	-5.02575e-016	0	0
