Position	Ux(real)	Ux(imag)	Uz(real)	Uz(imag)	Uy(real)	Uy(imag)
-0.0005	-8.52011e-015	-1.24305e-009	8.34647e-010	8.21104e-026	-0	0
-0.00048	1.43099e-014	-1.25986e-009	7.70909e-010	-2.48591e-014	-0	0
-0.00046	3.45653e-014	-1.27489e-009	7.11288e-010	-4.60579e-014	-0	0
-0.00044	5.24843e-014	-1.28827e-009	6.55526e-010	-6.38843e-014	-0	0
-0.00042	6.82877e-014	-1.30016e-009	6.03378e-010	-7.86069e-014	-0	0
-0.0004	8.21797e-014	-1.31069e-009	5.54607e-010	-9.04762e-014	-0	0
-0.00038	9.43493e-014	-1.31998e-009	5.0899e-010	-9.97256e-014	-0	0
-0.00036	1.04971e-013	-1.32816e-009	4.66313e-010	-1.06573e-013	-0	0
-0.00034	1.14205e-013	-1.33532e-009	4.2637e-010	-1.11222e-013	-0	0
-0.00032	1.222e-013	-1.34157e-009	3.88965e-010	-1.13863e-013	-0	0
-0.0003	1.29092e-013	-1.34701e-009	3.53908e-010	-1.14672e-013	-0	0
-0.00028	1.35005e-013	-1.35172e-009	3.21019e-010	-1.13817e-013	-0	0
-0.00026	1.40052e-013	-1.35578e-009	2.90124e-010	-1.11451e-013	-0	0
-0.00024	1.44337e-013	-1.35926e-009	2.61055e-010	-1.07723e-013	-0	0
-0.00022	1.47955e-013	-1.36223e-009	2.3365e-010	-1.02768e-013	-0	0
-0.0002	1.50988e-013	-1.36474e-009	2.07751e-010	-9.67154e-014	-0	0
-0.00018	1.53514e-013	-1.36686e-009	1.83207e-010	-8.96875e-014	-0	0
-0.00016	1.55599e-013	-1.36863e-009	1.59871e-010	-8.17995e-014	-0	0
-0.00014	1.57304e-013	-1.37009e-009	1.37598e-010	-7.31611e-014	-0	0
-0.00012	1.58679e-013	-1.37128e-009	1.16248e-010	-6.3877e-014	-0	0
-0.0001	1.59768e-013	-1.37223e-009	9.56845e-011	-5.40473e-014	-0	0
-8e-005	1.6061e-013	-1.37298e-009	7.57718e-011	-4.37686e-014	-0	0
-6e-005	1.61234e-013	-1.37353e-009	5.63775e-011	-3.31344e-014	-0	0
-4e-005	1.61663e-013	-1.37392e-009	3.73705e-011	-2.22356e-014	-0	0
-2e-005	1.61914e-013	-1.37414e-009	1.8621e-011	-1.11615e-014	-0	0
0	1.61997e-013	-1.37422e-009	-0	0	-0	0
2e-005	1.61914e-013	-1.37414e-009	-1.8621e-011	1.11615e-014	-0	0
4e-005	1.61663e-013	-1.37392e-009	-3.73705e-011	2.22356e-014	-0	0
6e-005	1.61234e-013	-1.37353e-009	-5.63775e-011	3.31344e-014	-0	0
8e-005	1.6061e-013	-1.37298e-009	-7.57718e-011	4.37686e-014	-0	0
0.0001	1.59768e-013	-1.37223e-009	-9.56845e-011	5.40473e-014	-0	0
0.00012	1.58679e-013	-1.37128e-009	-1.16248e-010	6.3877e-014	-0	0
0.00014	1.57304e-013	-1.37009e-009	-1.37598e-010	7.31611e-014	-0	0
0.00016	1.55599e-013	-1.36863e-009	-1.59871e-010	8.17995e-014	-0	0
0.00018	1.53514e-013	-1.36686e-009	-1.83207e-010	8.96875e-014	-0	0
0.0002	1.50988e-013	-1.36474e-009	-2.07751e-010	9.67154e-014	-0	0
0.00022	1.47955e-013	-1.36223e-009	-2.3365e-010	1.02768e-013	-0	0
0.00024	1.44337e-013	-1.35926e-009	-2.61055e-010	1.07723e-013	-0	0
0.00026	1.40052e-013	-1.35578e-009	-2.90124e-010	1.11451e-013	-0	0
0.00028	1.35005e-013	-1.35172e-009	-3.21019e-010	1.13817e-013	-0	0
0.0003	1.29092e-013	-1.34701e-009	-3.53908e-010	1.14672e-013	-0	0
0.00032	1.222e-013	-1.34157e-009	-3.88965e-010	1.13863e-013	-0	0
0.00034	1.14205e-013	-1.33532e-009	-4.2637e-010	1.11222e-013	-0	0
0.00036	1.04971e-013	-1.32816e-009	-4.66313e-010	1.06573e-013	-0	0
0.00038	9.43493e-014	-1.31998e-009	-5.0899e-010	9.97256e-014	-0	0
0.0004	8.21797e-014	-1.31069e-009	-5.54607e-010	9.04762e-014	-0	0
0.00042	6.82877e-014	-1.30016e-009	-6.03378e-010	7.86069e-014	-0	0
0.00044	5.24843e-014	-1.28827e-009	-6.55526e-010	6.38843e-014	-0	0
0.00046	3.45653e-014	-1.27489e-009	-7.11288e-010	4.60579e-014	-0	0
0.00048	1.43099e-014	-1.25986e-009	-7.70909e-010	2.48591e-014	-0	0
0.0005	-8.52011e-015	-1.24305e-009	-8.34647e-010	-8.21104e-026	-0	0
